"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2300","Normal/Others","WS/MP849/2023-2024/60015-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Multi purpose waiting hall for passengers and police personnel etc","09-Dec-2023","989796","20-Jan-2024"
"2301","Normal/Others","WS/MP849/2023-2024/60016-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Multi purpose waiting hall for passengers and police personnel etc","09-Dec-2023","989796","20-Jan-2024"
"2302","Normal/Others","WS/MP849/2023-2024/60017-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Multi purpose waiting hall for passengers and police personnel etc","09-Dec-2023","989810","20-Jan-2024"
"2303","Normal/Others","WS/MP849/2023-2024/60018-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Multi purpose waiting hall for passengers and police personnel","09-Dec-2023","989512","20-Jan-2024"
"2304","Normal/Others","WS/MP849/2023-2024/60019-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Multi purpose waiting hall for passengers and police personnel etc","09-Dec-2023","988978","20-Jan-2024"
"2305","Normal/Others","WS/MP849/2023-2024/60035-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 mtr pole, and 6 lights of 200 watt each","10-Dec-2023","569586","24-Jan-2024"
"2306","Normal/Others","WS/MP849/2023-2024/60036-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights 200 watt each","10-Dec-2023","569586","24-Jan-2024"
"2307","Normal/Others","WS/MP188/2023-2024/60278-Development of playfields and sports grounds","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","Money being released towards the construction of Chaudhary Ajit Singh Memorial Volleyball Ground. This money needs to be given to the Nagar Palika Parishad Nehtaur directly. The total estimate of the ground is Rs 25.58 Lakhs. Out of this, Rs 15 Lakhs is being sanctioned from my end. Rest of the amount will be taken up by the Nagar Palika itself.","11-Dec-2023","1500000","07-Mar-2024"
"2308","Normal/Others","WS/MP188/2024-2025/60318-Construction of buildings for sports facilities","Uttar Pradesh","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","Shri Jayant Chaudhary (2022-28) (2022-2028)","Elected MP","This fund is being released towards the construction of a Wrestling Hall under the Shaheed Bachan Singh and Late Arun Pahalwan Akhada Seva Samiti.","11-Dec-2023","1500000","12-Jul-2024"
"2309","Normal/Others","WS/MP189/2023-2024/60506-Construction of rooms and halls in school and colleges","Uttar Pradesh","SULTANPUR(DISTRICT MAGISTRATE SULTANPUR_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","Construction of Class Room","12-Dec-2023","3000000","11-Mar-2024"
"2310","Normal/Others","WS/MP019/2023-2024/60510-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","Installation work of solar high mast light near Bhola Singh's house in development block Chatra Babhnaul.","12-Dec-2023","119000.66","22-Feb-2024"
"2311","Normal/Others","WS/MP019/2023-2024/60511-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","Establishment of high mast near Raja Sharda Mahesh Inter College, robertsganj Sonbhadra.","12-Dec-2023","700000","22-Feb-2024"
"2312","Normal/Others","WS/MP019/2023-2024/60512-Lighting of public spaces","Uttar Pradesh","SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA)","Shri Hardeep Singh Puri (2020-26) (2020-2026)","Elected MP","Work of installing 15 kilo watt solar power plant (with battery) near Gurudwara School in Chopan development block.","12-Dec-2023","2434907.49","22-Feb-2024"
"2313","Normal/Others","WS/MP052/2023-2024/60513-Providing drains and gutters for public drainage","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of drain from Shri Madan Prasad ji's house to the main road in front of Shri Kailash Yadav ji in Ward No. 28 Banuchhapar of Municipal Corporation Bettiah. Estimated amount rs. 900000.","12-Dec-2023","892859","15-Mar-2024"
"2314","Normal/Others","WS/MP052/2023-2024/60541-Construction of public staircase/ stair ghat for public convenience","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of connection road and drain from Mr. Sunil Mishra's house to the further road from Mr. Santosh Pandey's house in Ward No. 28 Sant Kabir Road of Municipal Corporation Bettiah. Estimated Amount 900000/-","12-Dec-2023","892719","15-Mar-2024"
"2315","Normal/Others","WS/MP052/2024-2025/60551-Fitting of Sitting RCC Benches in Public Places","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of platform on public land near Kali temple in village Sitab Diyar ward number 5 of Gram Panchayat Raj Dhanaha of Block Madhubani. Estimated amount rs. 500000","12-Dec-2023","498036","10-Jun-2024"
"2316","Normal/Others","WS/MP192/2023-2024/60947-Installing community drinking water plants","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Shri Surendra Singh Nagar (2022-28) (2022-2028)","Elected MP","Public Drinking Water /ATM-   Nehru smark inter College Sakhipur. Working Agency- Provincial Co-perative Construction And Development LTD Bulandshahr. Contact-Vijendra Bhati- 9911626113","12-Dec-2023","984000","08-Jan-2024"
"2317","Normal/Others","WS/MP849/2023-2024/61128-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2318","Normal/Others","WS/MP849/2023-2024/61139-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2319","Normal/Others","WS/MP849/2023-2024/61167-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2320","Normal/Others","WS/MP849/2023-2024/61182-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2321","Normal/Others","WS/MP849/2023-2024/61187-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2322","Normal/Others","WS/MP849/2023-2024/61207-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2323","Normal/Others","WS/MP849/2023-2024/61210-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2324","Normal/Others","WS/MP849/2023-2024/61216-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2325","Normal/Others","WS/MP849/2023-2024/61217-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2326","Normal/Others","WS/MP849/2023-2024/61221-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2327","Normal/Others","WS/MP849/2023-2024/61226-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2328","Normal/Others","WS/MP849/2023-2024/61227-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2329","Normal/Others","WS/MP849/2023-2024/61228-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2330","Normal/Others","WS/MP849/2023-2024/61238-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","563586","24-Jan-2024"
"2331","Normal/Others","WS/MP849/2023-2024/61239-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2332","Normal/Others","WS/MP849/2023-2024/61258-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2333","Normal/Others","WS/MP849/2023-2024/61262-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2334","Normal/Others","WS/MP849/2023-2024/61264-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2335","Normal/Others","WS/MP849/2023-2024/61278-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2336","Normal/Others","WS/MP849/2023-2024/61282-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2337","Normal/Others","WS/MP849/2023-2024/61284-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2338","Normal/Others","WS/MP849/2023-2024/61285-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2339","Normal/Others","WS/MP849/2023-2024/61289-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2340","Normal/Others","WS/MP849/2023-2024/61294-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2341","Normal/Others","WS/MP849/2023-2024/61301-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","24-Jan-2024"
"2342","Normal/Others","WS/MP849/2023-2024/61304-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","23-Jan-2024"
"2343","Normal/Others","WS/MP849/2023-2024/61309-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","23-Jan-2024"
"2344","Normal/Others","WS/MP849/2023-2024/61313-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","23-Jan-2024"
"2345","Normal/Others","WS/MP849/2023-2024/61317-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Installation of high mast light with 12.5 meter pole and 6 lights of 200 watt each","13-Dec-2023","569586","23-Jan-2024"
"2346","Normal/Others","WS/MP202/2023-2024/61322-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Vikash Khand Mungra Badsahpur Gram Goraiyadih Me RamChauki Sampark Marg Se Rohan Panday Ke Ghar Tak 150 metar Interlocking Ka Karya Sampark Sutra 8400200176","13-Dec-2023","693063","03-Jan-2024"
"2347","Normal/Others","WS/MP202/2023-2024/61323-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Vikash Khand Mungra Badsahpur Gram Rakhauli Me Nahar Ki Puliya Se Nanhe Panday Ke Ghar Tak  100 metar Interlocking Ka Karya","13-Dec-2023","471313","03-Jan-2024"
"2348","Normal/Others","WS/MP202/2023-2024/61324-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Vikash Khand Sujanganj Gram Bhaisahi Me Sampark Marg Se Shree Umashankar Pandit Ji Ke Ghar Tak 200 metar Interlocking Ka Karya","13-Dec-2023","1162523","03-Jan-2024"
"2349","Normal/Others","WS/MP202/2023-2024/61325-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Vikash Khand Sujanganj Gram Unchgawan Me Addopur Me Satish Dubey Ke GHar Ke aage Tak 50 metar awsesh Bhag Interlocking Ka Karya","13-Dec-2023","241000","03-Jan-2024"
"2350","Normal/Others","WS/MP202/2023-2024/61326-Providing CCTV camera system for security of public areas","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Smt. Seema Dwivedi (2020-26) (2020-2026)","Elected MP","Kalichabad Tirahe Par Nirmit Maharana Pratap Ke Aas Pas Suraksha NIgrani Hetu C C TV Camera System Tatha Anushrwan Hetu Ak Kaccha Ka Karya","13-Dec-2023","349000","03-Jan-2024"
"2351","Normal/Others","WS/MP849/2023-2024/61376-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt  Near various public place listed in letter along with the name of concerned person.  Total lights: 22 places   Total amount: 50000 per light  50000*22= 1100000","13-Dec-2023","1099892","09-Feb-2024"
"2352","Normal/Others","WS/MP849/2023-2024/61381-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt   Total 2 lights  Amount 2*50000= 100000  Places mentioned on no. 1&2 in the letter.","13-Dec-2023","99989.45","09-Feb-2024"
"2353","Normal/Others","WS/MP849/2023-2024/61384-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt","13-Dec-2023","49995","11-Feb-2024"
"2354","Normal/Others","WS/MP849/2023-2024/61398-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt At two places 1. Near the house of Bhagwan Das 2.  Near the house of ved Prakash Contact number 9917 530 585  Name listed at number 4 and 5 in the attachment.","13-Dec-2023","99989.45","11-Feb-2024"
"2355","Normal/Others","WS/MP849/2023-2024/61411-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt At 15 places listed in the attachment.  Total amount 15*50000","13-Dec-2023","749926.88","12-Feb-2024"
"2356","Normal/Others","WS/MP849/2023-2024/61424-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt At 15 places listed in the attachment near the village Kawa,bahadurpur and rathgaon  Amount: 15*50000= 750000","13-Dec-2023","749927","12-Feb-2024"
"2357","Normal/Others","WS/MP849/2023-2024/61434-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 wat At 15 places listed in the attachment Amount: 15*50000= 750000","13-Dec-2023","749926","12-Feb-2024"
"2358","Normal/Others","WS/MP849/2023-2024/61440-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt  At 15 places listed in the attachment Amount 15*50000=750000","13-Dec-2023","749926","12-Feb-2024"
"2359","Normal/Others","WS/MP849/2023-2024/61451-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 wat At 15 places listed in the attachment Amount 15*50000=750000","13-Dec-2023","749927","12-Feb-2024"
"2360","Normal/Others","WS/MP201/2023-2024/61648-Lighting of public spaces","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","supply and installation of led semi high mast light at 62 different places with each cost of 2.44 lacs","13-Dec-2023","15128000","18-Jan-2024"
"2361","Normal/Others","WS/MP839/2023-2024/61661-Construction of public toilets and bathrooms","Jammu And Kashmir","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","Construction of community bathroom at Sunjwan lower","13-Dec-2023","1998000","09-Feb-2024"
"2362","Normal/Others","WS/MP162/2023-2024/61773-Construction of stadiums","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","Constructions Of New Indoor Ground With Galvano Aluminium Sheet Roofing In volleyball ground with multipurpose Wooden Flooring in Lady Doak Collage, Madurai","14-Dec-2023","10976847","28-Feb-2024"
"2363","Normal/Others","WS/MP106/2023-2024/61900-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Khinni, Janpad Panchayat Majhouli ke gram Kaithra main Ramkumar ke ghar se main road tak CC Road Evam  Nali Nirman, Jabalpur","14-Dec-2023","600000","07-Feb-2024"
"2364","Normal/Others","WS/MP849/2023-2024/61946-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt at 11 places listed in the attachment Total places: 11  Total amount : 11*50000= 550000","14-Dec-2023","549946","12-Feb-2024"
"2365","Normal/Others","WS/MP849/2023-2024/61952-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt  Total places: 11 Total amount: 11*50000. = 550000","14-Dec-2023","549945","12-Feb-2024"
"2366","Normal/Others","WS/MP204/2024-2025/61956-Construction of rooms and halls in school and colleges","Uttarakhand","PAURI GARHWAL(DISTRICT MAGISTRATE PAURI GARHWAL_IDA)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","Development of Play Ground at Rajmati Devi Saraswati Vidya Mandir Timli Pauri","14-Dec-2023","1800000","18-Dec-2024"
"2367","Normal/Others","WS/MP849/2023-2024/61959-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt At 10 places","14-Dec-2023","499952","12-Feb-2024"
"2368","Normal/Others","WS/MP849/2023-2024/61977-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt at 10 place","14-Dec-2023","499952","12-Feb-2024"
"2369","Normal/Others","WS/MP849/2023-2024/61981-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt at 10 places","14-Dec-2023","499951.25","12-Feb-2024"
"2370","Normal/Others","WS/MP849/2023-2024/61985-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt at 10 places","14-Dec-2023","499952","11-Feb-2024"
"2371","Normal/Others","WS/MP849/2023-2024/61988-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar light 30 watt at 10 places","14-Dec-2023","499951.25","11-Feb-2024"
"2372","Normal/Others","WS/MP849/2023-2024/61999-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 10 places","14-Dec-2023","499952.25","11-Feb-2024"
"2373","Normal/Others","WS/MP849/2023-2024/62038-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 10 places","14-Dec-2023","499952","11-Feb-2024"
"2374","Normal/Others","WS/MP849/2023-2024/62039-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 11 places","14-Dec-2023","549946","11-Feb-2024"
"2375","Normal/Others","WS/MP849/2023-2024/62045-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","Solar lights 30 watt at 11 places","14-Dec-2023","549946","11-Feb-2024"
